,mode,model_type,trial,episode,return,hash_id,config,config_str
41,training,model_6,7,6,2.0430773920650447,72ce3bfb2c477565fb8588e948ebee22,"{'learning_rate': 0.0010006, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:7'}",c3caf0b3d37b8bd6dfa418ad673d05da
42,training,model_6,8,1,1.0497107204457028,6ba698cbdab75c9efef7cca1fcdf937c,"{'learning_rate': 0.0010007, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:8'}",d8f0a12032515401f647898bf9e28dbb
43,training,model_6,8,2,1.532616836116591,6ba698cbdab75c9efef7cca1fcdf937c,"{'learning_rate': 0.0010007, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:8'}",d8f0a12032515401f647898bf9e28dbb
44,training,model_6,8,3,1.4178698868545245,6ba698cbdab75c9efef7cca1fcdf937c,"{'learning_rate': 0.0010007, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:8'}",d8f0a12032515401f647898bf9e28dbb
45,training,model_6,8,4,1.5392032181903859,6ba698cbdab75c9efef7cca1fcdf937c,"{'learning_rate': 0.0010007, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:8'}",d8f0a12032515401f647898bf9e28dbb
46,training,model_6,8,5,0.9914708852224847,6ba698cbdab75c9efef7cca1fcdf937c,"{'learning_rate': 0.0010007, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:8'}",d8f0a12032515401f647898bf9e28dbb
47,training,model_6,8,6,2.294985872814818,6ba698cbdab75c9efef7cca1fcdf937c,"{'learning_rate': 0.0010007, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:8'}",d8f0a12032515401f647898bf9e28dbb
48,training,model_6,9,1,0.7097815682335333,878c2544a5c64713bab019bb5fa9c3d0,"{'learning_rate': 0.0010008, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:9'}",4c37f2e7429a3ffaa030d8ac7b225cf0
49,training,model_6,9,2,1.2344991541045012,878c2544a5c64713bab019bb5fa9c3d0,"{'learning_rate': 0.0010008, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:9'}",4c37f2e7429a3ffaa030d8ac7b225cf0
50,training,model_6,9,3,2.708597762425527,878c2544a5c64713bab019bb5fa9c3d0,"{'learning_rate': 0.0010008, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:9'}",4c37f2e7429a3ffaa030d8ac7b225cf0
51,training,model_6,9,4,1.8818340844523944,878c2544a5c64713bab019bb5fa9c3d0,"{'learning_rate': 0.0010008, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:9'}",4c37f2e7429a3ffaa030d8ac7b225cf0
52,training,model_6,9,5,3.283131390820089,878c2544a5c64713bab019bb5fa9c3d0,"{'learning_rate': 0.0010008, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:9'}",4c37f2e7429a3ffaa030d8ac7b225cf0
53,training,model_6,9,6,0.6534788604190886,878c2544a5c64713bab019bb5fa9c3d0,"{'learning_rate': 0.0010008, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:9'}",4c37f2e7429a3ffaa030d8ac7b225cf0
54,training,model_6,10,1,1.4551365948365684,d10ea13db72a716d8c7b203f1b597100,"{'learning_rate': 0.0010009, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:10'}",b4ac8863166dbed1266e7823faf1a480
55,training,model_6,10,2,0.2621543222523668,d10ea13db72a716d8c7b203f1b597100,"{'learning_rate': 0.0010009, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:10'}",b4ac8863166dbed1266e7823faf1a480
56,training,model_6,10,3,1.1503637458058775,d10ea13db72a716d8c7b203f1b597100,"{'learning_rate': 0.0010009, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:10'}",b4ac8863166dbed1266e7823faf1a480
57,training,model_6,10,4,2.538509586707948,d10ea13db72a716d8c7b203f1b597100,"{'learning_rate': 0.0010009, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:10'}",b4ac8863166dbed1266e7823faf1a480
58,training,model_6,10,5,1.2885207793194358,d10ea13db72a716d8c7b203f1b597100,"{'learning_rate': 0.0010009, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:10'}",b4ac8863166dbed1266e7823faf1a480
59,training,model_6,10,6,1.247087032301342,d10ea13db72a716d8c7b203f1b597100,"{'learning_rate': 0.0010009, 'batch_size': 128, 'buffer_size': 100000, 'tau': 0.01, 'gamma': 0.98, 'train_freq': 1, 'ent_coef': 'auto', 'name': 'variant:10'}",b4ac8863166dbed1266e7823faf1a480
