,mode,model_type,trial,episode,return,hash_id,config,config_str
385,training,a2c,8,8,1.6925064188877705,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
390,training,a2c,8,9,2.8547092351986905,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
395,training,a2c,8,10,0.5309554811212238,0c28aad2f2b758e3f396c457c96cec03,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:8'}",8fd30e9e3ac142eb630843abeeb09434
400,training,a2c,9,1,-0.30191553110910907,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
405,training,a2c,9,2,0.7492477577685619,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
410,training,a2c,9,3,-0.02641613826218281,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
415,training,a2c,9,4,1.413025901205649,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
420,training,a2c,9,5,2.790710793180862,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
425,training,a2c,9,6,2.4068897094147483,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
430,training,a2c,9,7,2.3041096236746657,01fea93c64bad089ace9ab2646fc5709,"{'learning_rate': 0.0007, 'n_steps': 10, 'gamma': 0.98, 'ent_coef': 0.005, 'normalize_advantage': False, 'use_rms_prop': False, 'name': 'variant:9'}",8fd30e9e3ac142eb630843abeeb09434
